Domain,MCP_URL
bfl.ai,https://mcp.bfl.ai/.well-known/mcp-server
bidprime.com,https://mcp.bidprime.com/.well-known/mcp-server
bigdata.com,https://mcp.bigdata.com/.well-known/mcp-server
bigenius-x.com,https://mcp.bigenius-x.com/.well-known/mcp-server
biggeo.com,https://mcp.biggeo.com/.well-known/mcp-server
billd.com,https://mcp.billd.com/.well-known/mcp-server
billygrace.com,https://mcp.billygrace.com/.well-known/mcp-server
binclusive.io,https://mcp.binclusive.io/.well-known/mcp-server
binderr.com,https://mcp.binderr.com/.well-known/mcp-server
binetz.com,https://mcp.binetz.com/.well-known/mcp-server
birdeye.so,https://mcp.birdeye.so/.well-known/mcp-server
bitcoin.com,https://mcp.bitcoin.com/.well-known/mcp-server
bitmovin.com,https://mcp.bitmovin.com/.well-known/mcp-server
bito.ai,https://mcp.bito.ai/.well-known/mcp-server
bitpanda.com,https://mcp.bitpanda.com/.well-known/mcp-server
bitrise.io,https://mcp.bitrise.io/.well-known/mcp-server
bitsight.com,https://mcp.bitsight.com/.well-known/mcp-server
bitsila.com,https://mcp.bitsila.com/.well-known/mcp-server
bixisoft.com,https://mcp.bixisoft.com/.well-known/mcp-server
bizaway.com,https://mcp.bizaway.com/.well-known/mcp-server
bizstream.com,https://mcp.bizstream.com/.well-known/mcp-server
bksonline.nl,https://mcp.bksonline.nl/.well-known/mcp-server
blanche-capital.fr,https://mcp.blanche-capital.fr/.well-known/mcp-server
blaze.me,https://mcp.blaze.me/.well-known/mcp-server
blazesql.com,https://mcp.blazesql.com/.well-known/mcp-server
blend-ai.com,https://mcp.blend-ai.com/.well-known/mcp-server
blipply.com,https://mcp.blipply.com/.well-known/mcp-server
bliss.me,https://mcp.bliss.me/.well-known/mcp-server
blockbee.io,https://mcp.blockbee.io/.well-known/mcp-server
blockscholes.com,https://mcp.blockscholes.com/.well-known/mcp-server
blocksize.info,https://mcp.blocksize.info/.well-known/mcp-server
bloomberg.com,https://mcp.bloomberg.com/.well-known/mcp-server
bloomfield.ai,https://mcp.bloomfield.ai/.well-known/mcp-server
bloomreach.com,https://mcp.bloomreach.com/.well-known/mcp-server
bloque.app,https://mcp.bloque.app/.well-known/mcp-server
bluearf.com,https://mcp.bluearf.com/.well-known/mcp-server
bluefoxgroup.com,https://mcp.bluefoxgroup.com/.well-known/mcp-server
bluegamma.io,https://mcp.bluegamma.io/.well-known/mcp-server
bluente.com,https://mcp.bluente.com/.well-known/mcp-server
bluetriangle.com,https://mcp.bluetriangle.com/.well-known/mcp-server
bnicapital.com,https://mcp.bnicapital.com/.well-known/mcp-server
bold-agro.ai,https://mcp.bold-agro.ai/.well-known/mcp-server
boltontechnology.com,https://mcp.boltontechnology.com/.well-known/mcp-server
boluda.com,https://mcp.boluda.com/.well-known/mcp-server
bonafide.ai,https://mcp.bonafide.ai/.well-known/mcp-server
bonfire.com,https://mcp.bonfire.com/.well-known/mcp-server
bonnie.ai,https://mcp.bonnie.ai/.well-known/mcp-server
bonuz.market,https://mcp.bonuz.market/.well-known/mcp-server
bookline.io,https://mcp.bookline.io/.well-known/mcp-server
boom.nl,https://mcp.boom.nl/.well-known/mcp-server
boombattlebar.com,https://mcp.boombattlebar.com/.well-known/mcp-server
boompop.com,https://mcp.boompop.com/.well-known/mcp-server
boost.space,https://mcp.boost.space/.well-known/mcp-server
boostmyshop.com,https://mcp.boostmyshop.com/.well-known/mcp-server
boostsecurity.io,https://mcp.boostsecurity.io/.well-known/mcp-server
bosonprotocol.io,https://mcp.bosonprotocol.io/.well-known/mcp-server
botpresso.com,https://mcp.botpresso.com/.well-known/mcp-server
botsify.com,https://mcp.botsify.com/.well-known/mcp-server
bounceinsights.com,https://mcp.bounceinsights.com/.well-known/mcp-server
box.mk,https://mcp.box.mk/.well-known/mcp-server
brainfab.com,https://mcp.brainfab.com/.well-known/mcp-server
brale.xyz,https://mcp.brale.xyz/.well-known/mcp-server
branch.co,https://mcp.branch.co/.well-known/mcp-server
brandient.com,https://mcp.brandient.com/.well-known/mcp-server
brandsmeetcreators.com,https://mcp.brandsmeetcreators.com/.well-known/mcp-server
breadcrumbs.app,https://mcp.breadcrumbs.app/.well-known/mcp-server
breakthroughsales.io,https://mcp.breakthroughsales.io/.well-known/mcp-server
breezy.hr,https://mcp.breezy.hr/.well-known/mcp-server
brevo.com,https://mcp.brevo.com/.well-known/mcp-server
bridge.xyz,https://mcp.bridge.xyz/.well-known/mcp-server
bridgeai.co.uk,https://mcp.bridgeai.co.uk/.well-known/mcp-server
bridgemarketplace.com,https://mcp.bridgemarketplace.com/.well-known/mcp-server
briecomterobert.fr,https://mcp.briecomterobert.fr/.well-known/mcp-server
brightdome.com,https://mcp.brightdome.com/.well-known/mcp-server
brightedge.com,https://mcp.brightedge.com/.well-known/mcp-server
brightidea.com,https://mcp.brightidea.com/.well-known/mcp-server
brightmls.com,https://mcp.brightmls.com/.well-known/mcp-server
brombergtranslations.com,https://mcp.brombergtranslations.com/.well-known/mcp-server
browserbase.com,https://mcp.browserbase.com/.well-known/mcp-server
browserless.io,https://mcp.browserless.io/.well-known/mcp-server
brplusa.com,https://mcp.brplusa.com/.well-known/mcp-server
brusnika.ru,https://mcp.brusnika.ru/.well-known/mcp-server
bryntum.com,https://mcp.bryntum.com/.well-known/mcp-server
bryter.io,https://mcp.bryter.io/.well-known/mcp-server
brytonsport.com,https://mcp.brytonsport.com/.well-known/mcp-server
buffer.com,https://mcp.buffer.com/.well-known/mcp-server
bugasura.io,https://mcp.bugasura.io/.well-known/mcp-server
buhochile.com,https://mcp.buhochile.com/.well-known/mcp-server
build.ai,https://mcp.build.ai/.well-known/mcp-server
buildbetter.ai,https://mcp.buildbetter.ai/.well-known/mcp-server
builderhead.com,https://mcp.builderhead.com/.well-known/mcp-server
builders.studio,https://mcp.builders.studio/.well-known/mcp-server
buildfire.com,https://mcp.buildfire.com/.well-known/mcp-server
buildkite.com,https://mcp.buildkite.com/.well-known/mcp-server
buildpeer.com,https://mcp.buildpeer.com/.well-known/mcp-server
builtmighty.com,https://mcp.builtmighty.com/.well-known/mcp-server
bulkpe.in,https://mcp.bulkpe.in/.well-known/mcp-server
bullit.ai,https://mcp.bullit.ai/.well-known/mcp-server
bundesweit.digital,https://mcp.bundesweit.digital/.well-known/mcp-server
buycycle.,https://mcp.buycycle./.well-known/mcp-server
buycycle.com,https://mcp.buycycle.com/.well-known/mcp-server
bytefederal.com,https://mcp.bytefederal.com/.well-known/mcp-server
bytehide.com,https://mcp.bytehide.com/.well-known/mcp-server
bytetravel.com,https://mcp.bytetravel.com/.well-known/mcp-server
bzigo.com,https://mcp.bzigo.com/.well-known/mcp-server
c.scale,https://mcp.c.scale/.well-known/mcp-server
c3biz.com,https://mcp.c3biz.com/.well-known/mcp-server
cablesandkits.com,https://mcp.cablesandkits.com/.well-known/mcp-server
cabsin.org.br,https://mcp.cabsin.org.br/.well-known/mcp-server
caffeine.ai,https://mcp.caffeine.ai/.well-known/mcp-server
caisgroup.com,https://mcp.caisgroup.com/.well-known/mcp-server
